bin,llimx,count
0,1.5,0
1,1.54,1
2,1.58,0
3,1.62,0
4,1.66,0
5,1.7,1
6,1.74,2
7,1.78,2
8,1.82,1
9,1.86,2
10,1.9,3
11,1.94,4
12,1.98,0
13,2.02,3
14,2.06,2
15,2.1,1
16,2.14,2
17,2.18,4
18,2.22,3
19,2.26,3
20,2.3,8
21,2.34,4
22,2.38,6
23,2.42,9
24,2.46,3
25,2.5,4
26,2.54,13
27,2.58,8
28,2.62,13
29,2.66,10
30,2.7,12
31,2.74,9
32,2.78,12
33,2.82,10
34,2.86,11
35,2.9,11
36,2.94,15
37,2.98,7
38,3.02,17
39,3.06,10
40,3.1,13
41,3.14,12
42,3.18,4
43,3.22,1
44,3.26,7
45,3.3,6
46,3.34,8
47,3.38,2
48,3.42,6
49,3.46,1
50,3.5,0
51,3.54,2
52,3.58,0
53,3.62,0
54,3.66,0
55,3.7,0
56,3.74,0
57,3.78,0
58,3.82,0
59,3.86,0
60,3.9,0
61,3.94,0
62,3.98,0
63,4.02,0
64,4.06,0
65,4.1,0
66,4.14,0
67,4.18,0
68,4.22,0
69,4.26,0
70,4.3,0
71,4.34,0
72,4.38,0
73,4.42,0
74,4.46,0
75,4.5,0
76,4.54,0
77,4.58,0
78,4.62,0
79,4.66,0
80,4.7,0
81,4.74,0
82,4.78,0
83,4.82,0
84,4.86,0
85,4.9,0
86,4.94,0
87,4.98,0
88,5.02,0
89,5.06,0
90,5.1,0
91,5.14,0
92,5.18,0
93,5.22,0
94,5.26,0
95,5.3,0
96,5.34,0
97,5.38,0
98,5.42,0
99,5.46,0
100,5.5,0
