bin,llimx,count
0,0,0
1,0.0175,0
2,0.035,0
3,0.0525,0
4,0.07,0
5,0.0875,0
6,0.105,0
7,0.1225,0
8,0.14,0
9,0.1575,0
10,0.175,0
11,0.1925,0
12,0.21,0
13,0.2275,0
14,0.245,0
15,0.2625,0
16,0.28,0
17,0.2975,0
18,0.315,0
19,0.3325,0
20,0.35,0
21,0.3675,0
22,0.385,0
23,0.4025,0
24,0.42,0
25,0.4375,0
26,0.455,0
27,0.4725,0
28,0.49,0
29,0.5075,0
30,0.525,0
31,0.5425,0
32,0.56,0
33,0.5775,0
34,0.595,0
35,0.6125,0
36,0.63,0
37,0.6475,0
38,0.665,0
39,0.6825,0
40,0.7,209
41,0.7175,233
42,0.735,201
43,0.7525,164
44,0.77,148
45,0.7875,160
46,0.805,149
47,0.8225,128
48,0.84,127
49,0.8575,105
50,0.875,98
51,0.8925,89
52,0.91,96
53,0.9275,72
54,0.945,69
55,0.9625,77
56,0.98,56
57,0.9975,48
58,1.015,43
59,1.0325,37
60,1.05,32
61,1.0675,36
62,1.085,36
63,1.1025,31
64,1.12,21
65,1.1375,20
66,1.155,18
67,1.1725,16
68,1.19,20
69,1.2075,16
70,1.225,5
71,1.2425,9
72,1.26,14
73,1.2775,11
74,1.295,6
75,1.3125,3
76,1.33,6
77,1.3475,5
78,1.365,5
79,1.3825,5
80,1.4,1
81,1.4175,1
82,1.435,0
83,1.4525,1
84,1.47,0
85,1.4875,0
86,1.505,0
87,1.5225,3
88,1.54,0
89,1.5575,2
90,1.575,1
91,1.5925,2
92,1.61,2
93,1.6275,1
94,1.645,0
95,1.6625,0
96,1.68,0
97,1.6975,0
98,1.715,0
99,1.7325,0
100,1.75,0
